nodos,ejes ,BellmanFord,dijkstra_basico,dijkstra_prioridad 
343, 58653,32771.8 ,16243.6 ,15217.4
344, 58996,36342.1 ,16301.7 ,15247
345, 59340,33687.3 ,16451.2 ,15472
346, 59685,35396.4 ,16618.4 ,15597.3
347, 60031,30565.7 ,16795.6 ,15757.5
348, 60378,38748.3 ,16771.4 ,15699.3
349, 60726,33472.2 ,17142.6 ,16042.8
350, 61075,33268 ,17165.5 ,16115.1
351, 61425,35701.3 ,17518.8 ,16416.8
352, 61776,30662.1 ,17467 ,16348.2
353, 62128,43283.9 ,17712.1 ,16594.3
354, 62481,38799.7 ,17752.6 ,16663.6
355, 62835,32866.5 ,18023.2 ,16926.6
356, 63190,33534.9 ,18159.5 ,17011.7
357, 63546,34521.4 ,18375.4 ,17169.6
358, 63903,34485.5 ,18343.6 ,17146
359, 64261,42523.5 ,18746.6 ,17555.2
360, 64620,35862.6 ,18648.3 ,17489.3
361, 64980,39879.5 ,19040.2 ,17843.7
362, 65341,37017 ,19006.9 ,17774.7
363, 65703,35687.4 ,19479.6 ,18225.9
364, 66066,38978.7 ,19340.4 ,18076
365, 66430,40480.4 ,19711.1 ,18429
366, 66795,46274.3 ,19762.8 ,18530.6
367, 67161,39738.9 ,20130.8 ,18800.9
368, 67528,38151.6 ,20130.8 ,18828.6
369, 67896,40429.4 ,20537.3 ,19130.7
370, 68265,45719.2 ,20380.5 ,19094.1
371, 68635,36560.2 ,20648.8 ,19342.9
372, 69006,41076.8 ,20641.6 ,19313.7
373, 69378,46350.3 ,21068.3 ,19692.5
374, 69751,44908.7 ,21179.5 ,19781.6
375, 70125,40725.2 ,21061.1 ,19370.9
376, 70500,40838.2 ,20842.1 ,19474.6
377, 70876,41353.5 ,21039.6 ,19668.6
378, 71253,37942.9 ,20857.8 ,19475.5
379, 71631,43963.1 ,21408.1 ,20048.6
380, 72010,40122.3 ,21389.9 ,19979.7
381, 72390,44853.1 ,21786.7 ,20312.1
382, 72771,44595.3 ,21798.6 ,20372.7
383, 73153,44979.3 ,22107.4 ,20692.7
384, 73536,41697.3 ,22045.9 ,20599.7
385, 73920,46786.3 ,22481.7 ,20982.5
386, 74305,43550.2 ,22372.5 ,20910.9
387, 74691,45226.5 ,22808.8 ,21281.7
388, 75078,47153 ,22845.9 ,21319.2
389, 75466,42450 ,23229.6 ,21683.7
390, 75855,42687.7 ,23238.6 ,21657.6
391, 76245,46174.3 ,23711.3 ,22127.4
392, 76636,45872.1 ,23655.1 ,22036.6
393, 77028,46262.8 ,24114.4 ,22405.2
394, 77421,46216.3 ,24119.8 ,22456.9
395, 77815,45806.3 ,24393.6 ,22757.3
396, 78210,43256.3 ,24627.4 ,22919.2
397, 78606,55450.3 ,24963.8 ,23294.5
398, 79003,47111.7 ,24905.2 ,23186.6
399, 79401,47804.7 ,25080.5 ,23396.8
400, 79800,45868.8 ,25365 ,23650.3
401, 80200,53355.4 ,25830.8 ,24122.8
402, 80601,45990.4 ,25660.9 ,23887.5
403, 81003,49133.5 ,26263.8 ,24483.3
404, 81406,53044.9 ,26222.9 ,24415
405, 81810,47984.2 ,26418.7 ,24556.8
406, 82215,48293.1 ,26467.5 ,24616.5
407, 82621,52526.7 ,27141 ,25277.7
408, 83028,47850.5 ,27183.5 ,25288.2
409, 83436,64769.2 ,27429.1 ,25558.1
410, 83845,50724.5 ,27410.7 ,25526.8
411, 84255,52693.5 ,28018.1 ,26104.2
412, 84666,51912.2 ,27659.8 ,25644.6
413, 85078,53692.2 ,28098.8 ,26170.4
414, 85491,49847.6 ,27998.7 ,25977
415, 85905,55473.7 ,28652.7 ,26669.8
416, 86320,53789.5 ,28334.2 ,26338.2
417, 86736,60219.3 ,29369.6 ,27384
418, 87153,52447.1 ,28838.1 ,26802.9
419, 87571,54400.4 ,29596.7 ,27510.6
420, 87990,54658.3 ,29688.9 ,27625
421, 88410,55341.3 ,30562.4 ,28401.6
422, 88831,56660 ,30078.6 ,27980.7
423, 89253,69729.7 ,30605.4 ,28534.9
424, 89676,65424.5 ,30947.7 ,28767.5
425, 90100,61261.1 ,30864.4 ,28707.4
426, 90525,59413.5 ,31056.1 ,28863.7
427, 90951,64591.7 ,31365 ,29197
428, 91378,68420.7 ,31465.3 ,29206.5
429, 91806,60969.3 ,32002 ,29756.8
430, 92235,63328.4 ,31776 ,29451.7
431, 92665,61648.2 ,32948.9 ,30628
