nodos,ejes,bellman,dijkstra_basico,dijkstra_prioridad 
419, 418,731.683 ,3764.98 ,759.586
420, 419,678.454 ,3722.48 ,705.428
421, 420,357.026 ,3687.43 ,546.482
422, 421,593.3 ,3759.54 ,619.868
423, 422,356.659 ,3693.95 ,549.099
424, 423,224.942 ,3583.55 ,425.466
425, 424,594.468 ,3773.86 ,644.898
426, 425,487.712 ,3797.37 ,608.186
427, 426,603.575 ,3795.35 ,596.702
428, 427,259.457 ,3721.57 ,461.332
429, 428,869.897 ,3916.82 ,718.25
430, 429,415.476 ,3851.68 ,572.55
431, 430,500.319 ,3977.31 ,720.741
432, 431,1060.58 ,4030.82 ,788.805
433, 432,952.41 ,4051.06 ,773.694
434, 433,450.895 ,4020.3 ,660.17
435, 434,922.605 ,4121.87 ,805.115
436, 435,898.643 ,4128.88 ,782.872
437, 436,734.918 ,4113.18 ,695.119
438, 437,784.764 ,4174.86 ,764.455
439, 438,673.356 ,4190.69 ,769.967
440, 439,687.376 ,4255.17 ,818.123
441, 440,263.71 ,4081.3 ,494.899
442, 441,491.41 ,4220.87 ,660.891
443, 442,381.147 ,4219.91 ,572.233
444, 443,427.325 ,4247.53 ,578.718
445, 444,571.685 ,4405.31 ,795.679
446, 445,1271.87 ,4424.66 ,846.946
447, 446,376.561 ,4302.3 ,576.78
448, 447,976.936 ,4507.62 ,877.256
449, 448,468.047 ,4439.98 ,706.065
450, 449,1045.36 ,4555.79 ,883.537
451, 450,607.855 ,4436.97 ,664.236
452, 451,925.842 ,4601.2 ,865.744
453, 452,436.627 ,4458.18 ,628.328
454, 453,612.091 ,4582.31 ,724.738
455, 454,794.02 ,4701.04 ,866.093
456, 455,1172.76 ,4727.98 ,896.875
457, 456,946.43 ,4759.89 ,881.697
458, 457,567.049 ,4694.95 ,753.518
459, 458,568.448 ,4742.88 ,732.777
460, 459,1093.13 ,4857.91 ,930.833
461, 460,421.38 ,4754.78 ,645.961
462, 461,351.363 ,4727.85 ,576.379
463, 462,623.976 ,4930.95 ,754.745
464, 463,1379.98 ,4974.38 ,926.838
465, 464,1120.4 ,4995.81 ,910.708
466, 465,843.243 ,5010.68 ,877.97
467, 466,744.066 ,4926.04 ,746.716
468, 467,776.015 ,5078.43 ,893.553
469, 468,583.9 ,5030.37 ,784.561
470, 469,563.745 ,5016.15 ,704.368
471, 470,889.395 ,5141.47 ,869.028
472, 471,398.444 ,5066.59 ,655.994
473, 472,251.242 ,4946.49 ,542.684
474, 473,1233.07 ,5205.75 ,857.913
475, 474,680.868 ,5167.58 ,747.538
476, 475,245.894 ,4894.79 ,516.824
477, 476,573.88 ,5071 ,709.27
